ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-04-17,101.89038961688,96.83815696827793,107.5019224211876,101.89038961688,101.89038961688,0.11909043811177088,0.11909043811177088,0.11909043811177088,0.11909043811177088,0.11909043811177088,0.11909043811177088,0.0,0.0,0.0,102.00948005499177
2023-04-18,102.29720912292366,97.39559992663301,106.79365352342005,102.29720912292366,102.29720912292366,-0.36397982474249635,-0.36397982474249635,-0.36397982474249635,-0.36397982474249635,-0.36397982474249635,-0.36397982474249635,0.0,0.0,0.0,101.93322929818116
2023-04-19,102.70402862896732,97.34484871839284,106.64417640572883,102.70402862896732,102.70402862896732,-0.541733502589518,-0.541733502589518,-0.541733502589518,-0.541733502589518,-0.541733502589518,-0.541733502589518,0.0,0.0,0.0,102.1622951263778
2023-04-20,103.11084813501097,98.19376926486638,107.4366413638952,103.11084813501097,103.11084813501097,-0.32804134038526706,-0.32804134038526706,-0.32804134038526706,-0.32804134038526706,-0.32804134038526706,-0.32804134038526706,0.0,0.0,0.0,102.7828067946257
2023-04-21,103.51766764105463,99.31971875937643,108.90763174260586,103.51766764105463,103.51766764105463,0.4894022606067379,0.4894022606067379,0.4894022606067379,0.4894022606067379,0.4894022606067379,0.4894022606067379,0.0,0.0,0.0,104.00706990166137
2023-04-24,104.73812615918561,100.16073940169424,109.85446288050994,104.73812615918561,104.73812615918561,0.11909043811265745,0.11909043811265745,0.11909043811265745,0.11909043811265745,0.11909043811265745,0.11909043811265745,0.0,0.0,0.0,104.85721659729828
2023-04-25,105.14494566522924,99.77443167239845,109.72327955570331,105.14494566522924,105.14494566522924,-0.3639798247430706,-0.3639798247430706,-0.3639798247430706,-0.3639798247430706,-0.3639798247430706,-0.3639798247430706,0.0,0.0,0.0,104.78096584048618
2023-04-26,105.5517651712729,100.07015985626732,110.10338481088021,105.5517651712729,105.5517651712729,-0.5417335025895058,-0.5417335025895058,-0.5417335025895058,-0.5417335025895058,-0.5417335025895058,-0.5417335025895058,0.0,0.0,0.0,105.0100316686834
2023-04-27,105.95858467731657,100.58480698238829,110.44744135726478,105.95858467731657,105.95858467731657,-0.32804134038481375,-0.32804134038481375,-0.32804134038481375,-0.32804134038481375,-0.32804134038481375,-0.32804134038481375,0.0,0.0,0.0,105.63054333693175
2023-04-28,106.36540416975262,101.77135298003523,112.056379548839,106.36540416975262,106.36540416975262,0.4894022606071126,0.4894022606071126,0.4894022606071126,0.4894022606071126,0.4894022606071126,0.4894022606071126,0.0,0.0,0.0,106.85480643035973
2023-05-01,107.5858626470608,102.89135862385749,112.3446756644876,107.5858626470608,107.5858626470608,0.11909043811178718,0.11909043811178718,0.11909043811178718,0.11909043811178718,0.11909043811178718,0.11909043811178718,0.0,0.0,0.0,107.70495308517258
2023-05-02,107.99268213949685,102.85269057922072,112.3046348380543,107.99268213949685,107.99268213949685,-0.3639798247428414,-0.3639798247428414,-0.3639798247428414,-0.3639798247428414,-0.3639798247428414,-0.3639798247428414,0.0,0.0,0.0,107.62870231475401
2023-05-03,108.3995016319329,103.03511933822622,112.84620757249903,108.3995016319329,108.3995016319329,-0.5417335025893502,-0.5417335025893502,-0.5417335025893502,-0.5417335025893502,-0.5417335025893502,-0.5417335025893502,0.0,0.0,0.0,107.85776812934355
2023-05-04,108.80632112436896,103.0489494138061,113.21897841085716,108.80632112436896,108.80632112436896,-0.32804134038713617,-0.32804134038713617,-0.32804134038713617,-0.32804134038713617,-0.32804134038713617,-0.32804134038713617,0.0,0.0,0.0,108.47827978398183
2023-05-05,109.21314061680502,104.5556248754913,114.51279535658766,109.21314061680502,109.21314061680502,0.4894022606071506,0.4894022606071506,0.4894022606071506,0.4894022606071506,0.4894022606071506,0.4894022606071506,0.0,0.0,0.0,109.70254287741217
2023-05-08,110.43359909411319,105.4873860982866,115.34061327098728,110.43359909411319,110.43359909411319,0.11909043811179539,0.11909043811179539,0.11909043811179539,0.11909043811179539,0.11909043811179539,0.11909043811179539,0.0,0.0,0.0,110.55268953222499
2023-05-09,110.84041858654925,105.57836783265995,115.49896477012352,110.84041858654925,110.84041858654925,-0.3639798247426121,-0.3639798247426121,-0.3639798247426121,-0.3639798247426121,-0.3639798247426121,-0.3639798247426121,0.0,0.0,0.0,110.47643876180663
2023-05-10,111.24723807770032,105.92235100335922,115.62205666489415,111.24723807770032,111.24723807770032,-0.5417335025897639,-0.5417335025897639,-0.5417335025897639,-0.5417335025897639,-0.5417335025897639,-0.5417335025897639,0.0,0.0,0.0,110.70550457511055
2023-05-11,111.65405756885139,106.85176692689602,116.07035020074083,111.65405756885139,111.65405756885139,-0.3280413403866828,-0.3280413403866828,-0.3280413403866828,-0.3280413403866828,-0.3280413403866828,-0.3280413403866828,0.0,0.0,0.0,111.32601622846471
2023-05-12,112.06087706000247,107.7595802244913,117.17877085244409,112.06087706000247,112.06087706000247,0.48940226060752506,0.48940226060752506,0.48940226060752506,0.48940226060752506,0.48940226060752506,0.48940226060752506,0.0,0.0,0.0,112.55027932060999
2023-05-15,113.28133553345567,108.7395815923427,118.46462880372745,113.28133553345567,113.28133553345567,0.1190904381128599,0.1190904381128599,0.1190904381128599,0.1190904381128599,0.1190904381128599,0.1190904381128599,0.0,0.0,0.0,113.40042597156854
2023-05-16,113.68815502460673,108.31069894475404,117.98642115362063,113.68815502460673,113.68815502460673,-0.3639798247439899,-0.3639798247439899,-0.3639798247439899,-0.3639798247439899,-0.3639798247439899,-0.3639798247439899,0.0,0.0,0.0,113.32417519986274
2023-05-17,114.09497451575781,108.40505517874912,118.45700791123386,114.09497451575781,114.09497451575781,-0.5417335025890387,-0.5417335025890387,-0.5417335025890387,-0.5417335025890387,-0.5417335025890387,-0.5417335025890387,0.0,0.0,0.0,113.55324101316877
2023-05-18,114.5017940069089,109.80796838365964,118.9626026028216,114.5017940069089,114.5017940069089,-0.3280413403860069,-0.3280413403860069,-0.3280413403860069,-0.3280413403860069,-0.3280413403860069,-0.3280413403860069,0.0,0.0,0.0,114.17375266652289
2023-05-19,114.90861349805995,110.6368908317069,120.1191385004745,114.90861349805995,114.90861349805995,0.48940226060773134,0.48940226060773134,0.48940226060773134,0.48940226060773134,0.48940226060773134,0.48940226060773134,0.0,0.0,0.0,115.39801575866768
2023-05-22,116.12907196607817,111.18665999928034,120.95148666625613,116.12907196607817,116.12907196607817,0.11909043811286803,0.11909043811286803,0.11909043811286803,0.11909043811286803,0.11909043811286803,0.11909043811286803,0.0,0.0,0.0,116.24816240419104
2023-05-23,116.5358914554176,111.11562223787065,121.50492870368569,116.5358914554176,116.5358914554176,-0.36397982474376056,-0.36397982474376056,-0.36397982474376056,-0.36397982474376056,-0.36397982474376056,-0.36397982474376056,0.0,0.0,0.0,116.17191163067383
2023-05-24,116.94271094475701,111.50759919249808,121.18505734739894,116.94271094475701,116.94271094475701,-0.5417335025894525,-0.5417335025894525,-0.5417335025894525,-0.5417335025894525,-0.5417335025894525,-0.5417335025894525,0.0,0.0,0.0,116.40097744216756
2023-05-25,117.34953043409642,112.46681027118204,121.87378808439063,117.34953043409642,117.34953043409642,-0.3280413403855535,-0.3280413403855535,-0.3280413403855535,-0.3280413403855535,-0.3280413403855535,-0.3280413403855535,0.0,0.0,0.0,117.02148909371087
2023-05-26,117.75634992343583,113.27298009805337,123.51814488818253,117.75634992343583,117.75634992343583,0.4894022606065905,0.4894022606065905,0.4894022606065905,0.4894022606065905,0.4894022606065905,0.4894022606065905,0.0,0.0,0.0,118.24575218404243
2023-05-30,119.38362788079348,113.78920740609078,123.8358795231423,119.38362788079348,119.38362788079348,-0.36397982474298307,-0.36397982474298307,-0.36397982474298307,-0.36397982474298307,-0.36397982474298307,-0.36397982474298307,0.0,0.0,0.0,119.0196480560505
